projectName,state,district,category,sanctionedAmount,estimatedCost,projectId,actualCost,startDate,expectedCompletionDate,actualCompletionDate,projectStatus,contractorId,contractorName,numberOfMilestones,completedMilestones,paymentAmount,numberOfPayments,inspectionStatus,beneficiaryCount,constituency,location,latitude,longitude,description
Construction of Modern Sub-Health Center and Diagnostic Annex at Anna Nagar West Ward 102,Tamil Nadu,Chennai,Healthcare & Clinics,3650000,3650000,MPLAD-2026-REAL-0011,1825000,2025-12-12,2026-07-12,,IN_PROGRESS,CONT-111,Brahmaputra Engineering Pvt,6,3,1825000,3,PENDING,5020,Chennai Central,Anna Nagar West Ward 102,13.093566,80.265609,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Development of Digital Library and Modern Computer Center at Govt College in Gandhipuram Block 3,Tamil Nadu,Coimbatore,Education & School Infra,3800000,3800000,MPLAD-2026-REAL-0012,3800000,2025-01-13,2026-08-13,2026-02-16,COMPLETED,CONT-112,Kalinga Public Works Enterprise,4,4,3800000,4,COMPLIANT,5340,Coimbatore Parliamentary Constituency,Gandhipuram Block 3,11.02232,76.966455,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Construction of Senior Citizen Daycare Center and Library at Goripalayam Main Sector,Tamil Nadu,Madurai,Community Halls & Centers,3950000,3950000,MPLAD-2026-REAL-0013,1580000,2025-02-14,2026-09-14,,IN_PROGRESS,CONT-101,Apex Infrastructure & Tech Ltd,5,2,1580000,2,PENDING,5660,Madurai Parliamentary Constituency,Goripalayam Main Sector,9.914773,78.12574,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Procurement of Mechanized Waste Collection EV Tippers and Compactors for Shivpur Rural Ward 14,Uttar Pradesh,Varanasi,Sanitation & Waste Management,4100000,4100000,MPLAD-2026-REAL-0014,4715000,2025-03-15,2026-10-15,,DELAYED,CONT-102,Vanguard Civil Consortium,6,1,3690000,4,FLAGGED,5980,Varanasi Parliamentary Constituency,Shivpur Rural Ward 14,25.31125,82.963718,High financial anomaly: 90% fund disbursed against only 1 milestone physically completed. Field verification flagged.
Solar Powered High-Mast Illumination Tower at Community Grounds in Alambagh Sector 5,Uttar Pradesh,Lucknow,Solar Lighting & Green Energy,4250000,4250000,MPLAD-2026-REAL-0015,6757500,2025-04-16,2026-11-16,,DELAYED,CONT-103,Bharat Pragati Builders,4,2,5743875,5,FLAGGED,6300,Lucknow Parliamentary Constituency,Alambagh Sector 5,26.856621,80.939449,Critical audit warning: Severe cost overrun of 59% with only 2/4 milestones completed.
Installation of Solar RO Community Drinking Water Filtration Plant at Govind Nagar Block B,Uttar Pradesh,Kanpur Nagar,Drinking Water & Tubewells,4400000,4400000,MPLAD-2026-REAL-0016,1760000,2025-05-17,2026-12-17,,IN_PROGRESS,CONT-104,Sunrise Municipal Infraworks,5,2,1760000,2,PENDING,6620,Kanpur Parliamentary Constituency,Govind Nagar Block B,26.45704,80.341544,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Upgradation of Bituminous Road and Paver Block Walkways in Civil Lines Ward 18,Uttar Pradesh,Prayagraj,Roads & Bridges,4550000,4550000,MPLAD-2026-REAL-0017,2275000,2025-06-18,2026-01-18,,IN_PROGRESS,CONT-105,Kalyan Rural Engineering Works,6,3,2275000,3,PENDING,6940,Allahabad Parliamentary Constituency,Civil Lines Ward 18,25.426448,81.853819,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Construction of Maternal & Child Healthcare Wellness Wing at Mansarovar Sector 7,Rajasthan,Jaipur,Healthcare & Clinics,4700000,4700000,MPLAD-2026-REAL-0018,4700000,2025-07-19,2026-02-19,2026-02-22,COMPLETED,CONT-106,Maruti Infrastructure Corp,4,4,4700000,4,COMPLIANT,7260,Jaipur Parliamentary Constituency,Mansarovar Sector 7,26.904515,75.778254,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Upgradation of School Infrastructure with Composite Science Laboratory at Ratanada Zone 3,Rajasthan,Jodhpur,Education & School Infra,4850000,4850000,MPLAD-2026-REAL-0019,1940000,2025-08-20,2026-03-20,,IN_PROGRESS,CONT-107,Royal Heritage Constructions,5,2,1940000,2,PENDING,7580,Jodhpur Parliamentary Constituency,Ratanada Zone 3,26.247624,73.016061,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Upgradation and Modernization of Gram Panchayat Community Bhavan at Hiran Magri Sector 4,Rajasthan,Udaipur,Community Halls & Centers,5000000,5000000,MPLAD-2026-REAL-0020,6750000,2025-09-21,2026-04-21,,DELAYED,CONT-108,Central Highland Developers,6,2,5737500,5,FLAGGED,7900,Udaipur Parliamentary Constituency,Hiran Magri Sector 4,24.59398,73.720889,Critical audit warning: Severe cost overrun of 35% with only 2/6 milestones completed.
Construction of Modern Bio-Toilets Complex and Washing Area at Vijay Nagar Ward 22,Madhya Pradesh,Indore,Sanitation & Waste Management,5150000,5150000,MPLAD-2026-REAL-0021,5922500,2025-10-22,2026-05-22,,DELAYED,CONT-109,Magadh Civil Works Ltd,4,1,4635000,4,FLAGGED,8220,Indore Parliamentary Constituency,Vijay Nagar Ward 22,22.711559,75.866607,High financial anomaly: 90% fund disbursed against only 1 milestone physically completed. Field verification flagged.
Deployment of 25kW Decentralized Solar Rooftop Microgrid at MP Nagar Zone 1,Madhya Pradesh,Bhopal,Solar Lighting & Green Energy,5300000,5300000,MPLAD-2026-REAL-0022,2120000,2025-11-23,2026-06-23,,IN_PROGRESS,CONT-110,Coastal Green Infra Services,5,2,2120000,2,PENDING,8540,Bhopal Parliamentary Constituency,MP Nagar Zone 1,23.25068,77.40492,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Extension of Piped Drinking Water Distribution Network in Lashkar Central Ward 11,Madhya Pradesh,Gwalior,Drinking Water & Tubewells,5450000,5450000,MPLAD-2026-REAL-0023,2725000,2025-12-24,2026-07-24,,IN_PROGRESS,CONT-111,Brahmaputra Engineering Pvt,6,3,2725000,3,PENDING,8860,Gwalior Parliamentary Constituency,Lashkar Central Ward 11,26.225607,78.173281,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Widening and Strengthening of Village Arterial Link Road in Shyambazar Ward 11,West Bengal,Kolkata,Roads & Bridges,5600000,5600000,MPLAD-2026-REAL-0024,5600000,2025-01-25,2026-08-25,2026-02-28,COMPLETED,CONT-112,Kalinga Public Works Enterprise,4,4,5600000,4,COMPLIANT,9180,Kolkata North,Shyambazar Ward 11,22.582402,88.370822,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Procurement of Fully Equipped Advanced Life Support Mobile Ambulance Unit for Barasat Sadar Block,West Bengal,North 24 Parganas,Healthcare & Clinics,5750000,5750000,MPLAD-2026-REAL-0025,8222500,2025-02-01,2026-09-01,,DELAYED,CONT-101,Apex Infrastructure & Tech Ltd,5,2,6989125,5,FLAGGED,9500,Dum Dum Parliamentary Constituency,Barasat Sadar Block,22.714874,88.49397,Critical audit warning: Severe cost overrun of 43% with only 2/5 milestones completed.
Construction of Additional Smart Classrooms and STEM Innovation Lab at Shibpur Central Ward,West Bengal,Howrah,Education & School Infra,5900000,5900000,MPLAD-2026-REAL-0026,2950000,2025-03-02,2026-10-02,,IN_PROGRESS,CONT-102,Vanguard Civil Consortium,6,3,2950000,3,PENDING,9820,Howrah Parliamentary Constituency,Shibpur Central Ward,22.585478,88.25748,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Development of Public Recreation Park with Open Gymnasium at Charminar Heritage Ward 4,Telangana,Hyderabad,Community Halls & Centers,6050000,6050000,MPLAD-2026-REAL-0027,6050000,2025-04-03,2026-11-03,2026-02-06,COMPLETED,CONT-103,Bharat Pragati Builders,4,4,6050000,4,COMPLIANT,10140,Hyderabad Parliamentary Constituency,Charminar Heritage Ward 4,17.390704,78.476142,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Construction of Underground Drainage System with Sewage Treatment Septic at Kukatpally Housing Board Phase 2,Telangana,Medchal-Malkajgiri,Sanitation & Waste Management,6200000,6200000,MPLAD-2026-REAL-0028,7130000,2025-05-04,2026-12-04,,DELAYED,CONT-104,Sunrise Municipal Infraworks,5,1,5580000,4,FLAGGED,10460,Malkajgiri Parliamentary Constituency,Kukatpally Housing Board Phase 2,17.504076,78.396679,High financial anomaly: 90% fund disbursed against only 1 milestone physically completed. Field verification flagged.
Solarization of Primary Health Center and Cold Chain Unit at Gajuwaka Industrial Zone,Andhra Pradesh,Visakhapatnam,Solar Lighting & Green Energy,6350000,6350000,MPLAD-2026-REAL-0029,3175000,2025-06-05,2026-01-05,,IN_PROGRESS,CONT-105,Kalyan Rural Engineering Works,6,3,3175000,3,PENDING,10780,Visakhapatnam Parliamentary Constituency,Gajuwaka Industrial Zone,17.681954,83.229478,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Augmentation of Rural Piped Drinking Water Supply Grid at Governorpet Block 2,Andhra Pradesh,Vijayawada,Drinking Water & Tubewells,6500000,6500000,MPLAD-2026-REAL-0030,9815000,2025-07-06,2026-02-06,,DELAYED,CONT-106,Maruti Infrastructure Corp,4,2,8342750,5,FLAGGED,11100,Vijayawada Parliamentary Constituency,Governorpet Block 2,16.495038,80.643595,Critical audit warning: Severe cost overrun of 51% with only 2/4 milestones completed.
Construction of All-Weather Cement Concrete (CC) Road at Kazhakkoottam Ward 1,Kerala,Thiruvananthapuram,Roads & Bridges,6650000,6650000,MPLAD-2026-REAL-0031,2660000,2025-08-07,2026-03-07,,IN_PROGRESS,CONT-107,Royal Heritage Constructions,5,2,2660000,2,PENDING,11420,Thiruvananthapuram Parliamentary Constituency,Kazhakkoottam Ward 1,8.528057,76.925271,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Supply and Installation of Advanced Medical Diagnostic Equipment at Kaloor North Sector,Kerala,Ernakulam,Healthcare & Clinics,6800000,6800000,MPLAD-2026-REAL-0032,3400000,2025-09-08,2026-04-08,,IN_PROGRESS,CONT-108,Central Highland Developers,6,3,3400000,3,PENDING,11740,Ernakulam Parliamentary Constituency,Kaloor North Sector,9.993077,76.303403,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Construction of Girls Sanitation Block and Rainwater Harvesting System at Kankarbagh Colony Sector 3,Bihar,Patna,Education & School Infra,6950000,6950000,MPLAD-2026-REAL-0033,6950000,2025-10-09,2026-05-09,2026-02-12,COMPLETED,CONT-109,Magadh Civil Works Ltd,4,4,6950000,4,COMPLIANT,12060,Patna Sahib,Kankarbagh Colony Sector 3,25.591057,85.149208,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Construction of Dr. B.R. Ambedkar Memorial Cultural Community Hall at Bodhgaya Road Ward 5,Bihar,Gaya,Community Halls & Centers,7100000,7100000,MPLAD-2026-REAL-0034,2840000,2025-11-10,2026-06-10,,IN_PROGRESS,CONT-110,Coastal Green Infra Services,5,2,2840000,2,PENDING,12380,Gaya Parliamentary Constituency,Bodhgaya Road Ward 5,24.77968,84.997622,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Development of Eco-Friendly Community Sanitation Block with Greywater Recycling at Nayapalli Ward 14,Odisha,Khordha,Sanitation & Waste Management,7250000,7250000,MPLAD-2026-REAL-0035,11527500,2025-12-11,2026-07-11,,DELAYED,CONT-111,Brahmaputra Engineering Pvt,6,2,9798375,5,FLAGGED,12700,Bhubaneswar Parliamentary Constituency,Nayapalli Ward 14,20.298209,85.812687,Critical audit warning: Severe cost overrun of 59% with only 2/6 milestones completed.
Installation of High-Mast Solar LED Lighting System at Badambadi Bus Terminal Area,Odisha,Cuttack,Solar Lighting & Green Energy,7400000,7400000,MPLAD-2026-REAL-0036,7400000,2025-01-12,2026-08-12,2026-02-15,COMPLETED,CONT-112,Kalinga Public Works Enterprise,4,4,7400000,4,COMPLIANT,13020,Cuttack Parliamentary Constituency,Badambadi Bus Terminal Area,20.474388,85.884637,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Drilling of Deep Borewell with Overhead Storage Reservoir at Model Town Block C,Punjab,Ludhiana,Drinking Water & Tubewells,7550000,7550000,MPLAD-2026-REAL-0037,3020000,2025-02-13,2026-09-13,,IN_PROGRESS,CONT-101,Apex Infrastructure & Tech Ltd,5,2,3020000,2,PENDING,13340,Ludhiana Parliamentary Constituency,Model Town Block C,30.899837,75.869244,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Construction of High-Level Reinforced Concrete Culvert & Approach Road at Ranjit Avenue Sector D,Punjab,Amritsar,Roads & Bridges,7700000,7700000,MPLAD-2026-REAL-0038,3850000,2025-03-14,2026-10-14,,IN_PROGRESS,CONT-102,Vanguard Civil Consortium,6,3,3850000,3,PENDING,13660,Amritsar Parliamentary Constituency,Ranjit Avenue Sector D,31.62202,74.871614,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Establishment of Telemedicine Enabled Primary Health Clinic at Sector 14 Civil Lines,Haryana,Gurugram,Healthcare & Clinics,7850000,7850000,MPLAD-2026-REAL-0039,7850000,2025-04-15,2026-11-15,2026-02-18,COMPLETED,CONT-103,Bharat Pragati Builders,4,4,7850000,4,COMPLIANT,13980,Gurgaon Parliamentary Constituency,Sector 14 Civil Lines,28.459708,77.014602,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Construction of Multipurpose Auditorium and Sports Amenity Center at NIT Faridabad Zone 3,Haryana,Faridabad,Education & School Infra,8000000,8000000,MPLAD-2026-REAL-0040,10800000,2025-05-16,2026-12-16,,DELAYED,CONT-104,Sunrise Municipal Infraworks,5,2,9180000,5,FLAGGED,14300,Faridabad Parliamentary Constituency,NIT Faridabad Zone 3,28.420897,77.317531,Critical audit warning: Severe cost overrun of 35% with only 2/5 milestones completed.
Construction of Multipurpose Community Welfare Center and Skill Hub at Dispur Capital Complex Ward 6,Assam,Kamrup Metropolitan,Community Halls & Centers,8150000,8150000,MPLAD-2026-REAL-0041,4075000,2025-06-17,2026-01-17,,IN_PROGRESS,CONT-105,Kalyan Rural Engineering Works,6,3,4075000,3,PENDING,14620,Gauhati Parliamentary Constituency,Dispur Capital Complex Ward 6,26.145247,91.748177,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Establishment of Decentralized Solid Waste Segregation & Composting Unit at Morabadi Ground Area,Jharkhand,Ranchi,Sanitation & Waste Management,8300000,8300000,MPLAD-2026-REAL-0042,9545000,2025-07-18,2026-02-18,,DELAYED,CONT-106,Maruti Infrastructure Corp,4,1,7470000,4,FLAGGED,14940,Ranchi Parliamentary Constituency,Morabadi Ground Area,23.332163,85.310823,High financial anomaly: 90% fund disbursed against only 1 milestone physically completed. Field verification flagged.
Installation of Smart Solar Streetlights with Auto-Sensors along Rajpur Road Ward 7,Uttarakhand,Dehradun,Solar Lighting & Green Energy,8450000,8450000,MPLAD-2026-REAL-0043,3380000,2025-08-19,2026-03-19,,IN_PROGRESS,CONT-107,Royal Heritage Constructions,5,2,3380000,2,PENDING,15260,Tehri Garhwal Parliamentary Constituency,Rajpur Road Ward 7,30.314802,78.020321,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Installation of High-Capacity Water ATM and Purification Unit at Sanjauli Hill Sector,Himachal Pradesh,Shimla,Drinking Water & Tubewells,8600000,8600000,MPLAD-2026-REAL-0044,4300000,2025-09-20,2026-04-20,,IN_PROGRESS,CONT-108,Central Highland Developers,6,3,4300000,3,PENDING,15580,Shimla Parliamentary Constituency,Sanjauli Hill Sector,31.116602,77.171231,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Construction of Covered Stormwater Drain and Interlocking CC Road at Telibandha Ward 19,Chhattisgarh,Raipur,Roads & Bridges,8750000,8750000,MPLAD-2026-REAL-0045,12512500,2025-10-21,2026-05-21,,DELAYED,CONT-109,Magadh Civil Works Ltd,4,2,10635625,5,FLAGGED,15900,Raipur Parliamentary Constituency,Telibandha Ward 19,21.254038,81.641307,Critical audit warning: Severe cost overrun of 43% with only 2/4 milestones completed.
Construction of Modern Sub-Health Center and Diagnostic Annex at Haveli Block Ward 12,Maharashtra,Pune,Healthcare & Clinics,8900000,8900000,MPLAD-2026-REAL-0046,3560000,2025-11-22,2026-06-22,,IN_PROGRESS,CONT-110,Coastal Green Infra Services,5,2,3560000,2,PENDING,16220,Pune Parliamentary Constituency,Haveli Block Ward 12,18.508808,73.859802,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Development of Digital Library and Modern Computer Center at Govt College in Sitabuldi North Sector 4,Maharashtra,Nagpur,Education & School Infra,9050000,9050000,MPLAD-2026-REAL-0047,4525000,2025-12-23,2026-07-23,,IN_PROGRESS,CONT-111,Brahmaputra Engineering Pvt,6,3,4525000,3,PENDING,16540,Nagpur Parliamentary Constituency,Sitabuldi North Sector 4,21.142239,79.076741,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Construction of Senior Citizen Daycare Center and Library at Panchavati Rural Zone,Maharashtra,Nashik,Community Halls & Centers,9200000,9200000,MPLAD-2026-REAL-0048,9200000,2025-01-24,2026-08-24,2026-02-27,COMPLETED,CONT-112,Kalinga Public Works Enterprise,4,4,9200000,4,COMPLIANT,16860,Nashik Parliamentary Constituency,Panchavati Rural Zone,20.008809,73.785786,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Procurement of Mechanized Waste Collection EV Tippers and Compactors for Dombivli East Ward 8,Maharashtra,Thane,Sanitation & Waste Management,9350000,9350000,MPLAD-2026-REAL-0049,10752500,2025-02-25,2026-09-25,,DELAYED,CONT-101,Apex Infrastructure & Tech Ltd,5,1,8415000,4,FLAGGED,17180,Kalyan Parliamentary Constituency,Dombivli East Ward 8,19.222762,72.98924,High financial anomaly: 90% fund disbursed against only 1 milestone physically completed. Field verification flagged.
Solar Powered High-Mast Illumination Tower at Community Grounds in Jayanagar Block 4,Karnataka,Bengaluru Urban,Solar Lighting & Green Energy,9500000,9500000,MPLAD-2026-REAL-0050,14345000,2025-03-01,2026-10-01,,DELAYED,CONT-102,Vanguard Civil Consortium,6,2,12193250,5,FLAGGED,17500,Bangalore South,Jayanagar Block 4,12.914047,77.598702,Critical audit warning: Severe cost overrun of 51% with only 2/6 milestones completed.
Installation of Solar RO Community Drinking Water Filtration Plant at Chamundipuram Sector 2,Karnataka,Mysuru,Drinking Water & Tubewells,9650000,9650000,MPLAD-2026-REAL-0051,9650000,2025-04-02,2026-11-02,2026-02-05,COMPLETED,CONT-103,Bharat Pragati Builders,4,4,9650000,4,COMPLIANT,17820,Mysore Parliamentary Constituency,Chamundipuram Sector 2,12.290466,76.628651,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Upgradation of Bituminous Road and Paver Block Walkways in Hubballi Vidyanagar Ward 15,Karnataka,Dharwad,Roads & Bridges,9800000,9800000,MPLAD-2026-REAL-0052,3920000,2025-05-03,2026-12-03,,IN_PROGRESS,CONT-104,Sunrise Municipal Infraworks,5,2,3920000,2,PENDING,18140,Dharwad Parliamentary Constituency,Hubballi Vidyanagar Ward 15,15.375228,75.118242,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Construction of Maternal & Child Healthcare Wellness Wing at Sabarmati Ward 6,Gujarat,Ahmedabad,Healthcare & Clinics,9950000,9950000,MPLAD-2026-REAL-0053,4975000,2025-06-04,2026-01-04,,IN_PROGRESS,CONT-105,Kalyan Rural Engineering Works,6,3,4975000,3,PENDING,18460,Ahmedabad West,Sabarmati Ward 6,23.081472,72.595291,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Upgradation of School Infrastructure with Composite Science Laboratory at Alkapuri West Zone,Gujarat,Vadodara,Education & School Infra,10100000,10100000,MPLAD-2026-REAL-0054,10100000,2025-07-05,2026-02-05,2026-02-08,COMPLETED,CONT-106,Maruti Infrastructure Corp,4,4,10100000,4,COMPLIANT,18780,Vadodara Parliamentary Constituency,Alkapuri West Zone,22.297163,73.187777,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Upgradation and Modernization of Gram Panchayat Community Bhavan at Varachha Central Block,Gujarat,Surat,Community Halls & Centers,10250000,10250000,MPLAD-2026-REAL-0055,16297500,2025-08-06,2026-03-06,,DELAYED,CONT-107,Royal Heritage Constructions,5,2,13852875,5,FLAGGED,19100,Surat Parliamentary Constituency,Varachha Central Block,21.163228,72.821333,Critical audit warning: Severe cost overrun of 59% with only 2/5 milestones completed.
Construction of Modern Bio-Toilets Complex and Washing Area at Anna Nagar West Ward 102,Tamil Nadu,Chennai,Sanitation & Waste Management,10400000,10400000,MPLAD-2026-REAL-0056,11960000,2025-09-07,2026-04-07,,DELAYED,CONT-108,Central Highland Developers,6,1,9360000,4,FLAGGED,19420,Chennai Central,Anna Nagar West Ward 102,13.092182,80.263345,High financial anomaly: 90% fund disbursed against only 1 milestone physically completed. Field verification flagged.
Deployment of 25kW Decentralized Solar Rooftop Microgrid at Gandhipuram Block 3,Tamil Nadu,Coimbatore,Solar Lighting & Green Energy,10550000,10550000,MPLAD-2026-REAL-0057,10550000,2025-10-08,2026-05-08,2026-02-11,COMPLETED,CONT-109,Magadh Civil Works Ltd,4,4,10550000,4,COMPLIANT,19740,Coimbatore Parliamentary Constituency,Gandhipuram Block 3,11.024527,76.964981,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Extension of Piped Drinking Water Distribution Network in Goripalayam Main Sector,Tamil Nadu,Madurai,Drinking Water & Tubewells,10700000,10700000,MPLAD-2026-REAL-0058,4280000,2025-11-09,2026-06-09,,IN_PROGRESS,CONT-110,Coastal Green Infra Services,5,2,4280000,2,PENDING,20060,Madurai Parliamentary Constituency,Goripalayam Main Sector,9.916334,78.127886,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Widening and Strengthening of Village Arterial Link Road in Shivpur Rural Ward 14,Uttar Pradesh,Varanasi,Roads & Bridges,10850000,10850000,MPLAD-2026-REAL-0059,5425000,2025-12-10,2026-07-10,,IN_PROGRESS,CONT-111,Brahmaputra Engineering Pvt,6,3,5425000,3,PENDING,20380,Varanasi Parliamentary Constituency,Shivpur Rural Ward 14,25.309167,82.965363,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Procurement of Fully Equipped Advanced Life Support Mobile Ambulance Unit for Alambagh Sector 5,Uttar Pradesh,Lucknow,Healthcare & Clinics,11000000,11000000,MPLAD-2026-REAL-0060,14850000,2025-01-11,2026-08-11,,DELAYED,CONT-112,Kalinga Public Works Enterprise,4,2,12622500,5,FLAGGED,20700,Lucknow Parliamentary Constituency,Alambagh Sector 5,26.854895,80.937434,Critical audit warning: Severe cost overrun of 35% with only 2/4 milestones completed.
Construction of Additional Smart Classrooms and STEM Innovation Lab at Govind Nagar Block B,Uttar Pradesh,Kanpur Nagar,Education & School Infra,11150000,11150000,MPLAD-2026-REAL-0061,4460000,2025-02-12,2026-09-12,,IN_PROGRESS,CONT-101,Apex Infrastructure & Tech Ltd,5,2,4460000,2,PENDING,21020,Kanpur Parliamentary Constituency,Govind Nagar Block B,26.458986,80.339739,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
