costDeviationPercentage,delayDays,paymentCount,paymentAmount,milestoneCompletionRate,contractorDelayRate,contractorCostOverrunRate,contractorAnomalyRate,costPerBeneficiary,projectDuration,duplicateSimilarity,label
4.7,45,2,1600000,60,9.7,5.8,13.9,1400,339,0,NORMAL
7.8,0,1,3000000,100,9.2,5.6,7.3,1620,300,0,NORMAL
56.9,124,4,5400000,10,51.3,35.2,77.8,4557,622,5,SUSPICIOUS
6.1,11,3,2300000,55,10.6,6.5,15.4,1593,336,0,NORMAL
5.6,17,1,2200000,95,9.2,13.4,8.4,1145,351,0,NORMAL
57.9,176,4,6600000,30,38.2,69.8,70.3,4884,552,15,SUSPICIOUS
8.9,16,2,3900000,75,5.3,7.6,14.3,973,321,5,NORMAL
14.7,9,2,1300000,95,15.9,11.5,15.5,1599,343,0,NORMAL
6.4,4,1,2800000,80,14.1,5.5,12.8,1030,338,0,NORMAL
14.8,1,3,1700000,90,10.5,5.6,7.7,1516,328,0,NORMAL
93.9,71,4,8400000,30,52.6,54.5,50.9,4805,631,15,SUSPICIOUS
5.1,14,2,3200000,80,8.3,8.8,8.1,1640,298,0,NORMAL
9.7,8,2,2400000,90,14.1,5.9,5.6,935,335,0,NORMAL
6.4,5,2,1200000,80,5.5,4.9,6.1,1053,344,8,NORMAL
9.9,10,1,2000000,75,8.9,6.8,13.4,1457,328,0,NORMAL
48.7,97,3,6600000,30,38.7,33.0,59.1,3865,550,86,SUSPICIOUS
9.7,0,2,2300000,65,10.8,4.4,8.6,1106,344,0,NORMAL
4.8,7,2,1900000,70,14.7,9.2,6.8,923,380,0,NORMAL
18.5,3,1,1800000,70,7.8,14.1,13.0,1208,319,0,NORMAL
3.7,27,2,2700000,80,5.8,10.5,13.8,1434,341,0,NORMAL
53.2,256,4,6000000,30,75.4,58.1,81.3,5100,743,8,SUSPICIOUS
44.9,221,5,8600000,20,72.3,59.6,79.6,4756,636,0,SUSPICIOUS
87.0,120,4,9100000,40,40.9,73.6,67.9,6473,508,15,SUSPICIOUS
37.2,109,3,5400000,35,57.4,42.3,67.1,3105,595,84,SUSPICIOUS
5.2,10,2,1300000,75,12.5,9.7,10.0,1371,345,0,NORMAL
16.2,2,1,1500000,85,10.7,12.8,6.7,978,340,0,NORMAL
12.0,2,3,2200000,75,13.7,10.5,5.3,851,321,8,NORMAL
18.5,31,4,2000000,65,8.1,5.7,16.4,1612,307,0,NORMAL
10.2,12,2,2700000,75,10.1,9.0,8.6,1427,326,5,NORMAL
56.3,188,5,8200000,5,69.4,43.7,82.7,3761,517,5,SUSPICIOUS
4.8,0,2,3500000,55,8.0,5.9,5.4,1169,263,0,NORMAL
85.6,130,5,7700000,40,47.1,52.4,57.3,5945,619,0,SUSPICIOUS
17.4,2,2,2900000,60,12.2,11.8,6.9,763,332,0,NORMAL
5.2,14,2,2000000,65,7.0,8.3,11.3,1278,324,0,NORMAL
12.7,43,2,2300000,55,8.5,8.0,15.5,1471,326,0,NORMAL
4.0,4,4,2600000,65,8.2,7.4,13.6,1446,319,0,NORMAL
6.7,3,2,3400000,55,12.8,3.9,8.1,1641,368,5,NORMAL
18.5,0,2,3600000,100,10.7,5.7,6.7,847,315,0,NORMAL
9.2,14,2,2800000,75,5.6,10.9,15.1,1031,324,0,NORMAL
70.5,213,4,6300000,15,80.4,58.8,82.0,4835,709,14,SUSPICIOUS
4.6,3,2,1400000,80,9.4,3.7,5.1,1575,324,0,NORMAL
5.2,0,2,1300000,85,13.8,7.1,16.8,839,280,0,NORMAL
36.1,107,2,6500000,25,36.6,43.7,60.8,3094,458,73,SUSPICIOUS
3.0,0,2,2800000,65,14.2,9.7,16.3,1203,358,0,NORMAL
6.3,2,1,2400000,85,8.0,10.5,14.5,1555,310,0,NORMAL
15.1,6,3,1400000,65,13.6,14.5,9.3,1163,347,8,NORMAL
6.5,23,3,2100000,75,8.2,8.7,8.5,1092,388,0,NORMAL
7.6,16,2,2600000,55,11.5,12.3,9.2,1251,368,12,NORMAL
1.8,0,3,1200000,75,15.9,4.0,6.3,1502,368,8,NORMAL
7.1,1,2,3100000,70,12.6,4.9,4.7,1079,334,0,NORMAL
9.7,12,2,1200000,90,5.3,9.0,9.7,1520,375,0,NORMAL
3.9,37,2,1500000,75,15.3,6.0,12.5,788,369,5,NORMAL
18.5,9,3,3000000,55,7.2,13.1,11.6,1574,340,0,NORMAL
6.2,18,1,1800000,70,16.1,5.8,12.2,1208,373,0,NORMAL
7.5,0,2,2200000,55,9.4,11.3,10.8,1412,350,0,NORMAL
4.7,14,2,1600000,60,18.0,4.0,16.7,1430,342,12,NORMAL
12.8,6,2,2700000,90,6.9,8.8,3.2,1056,316,0,NORMAL
15.4,33,2,1700000,85,10.1,10.9,9.7,1286,359,0,NORMAL
49.0,145,4,4000000,25,36.3,48.3,64.9,3553,526,91,SUSPICIOUS
32.8,67,2,4400000,25,38.5,47.3,50.4,3343,478,85,SUSPICIOUS
94.5,138,6,7000000,40,36.4,53.4,77.3,4309,599,5,SUSPICIOUS
32.5,121,3,7700000,12,57.5,42.0,57.3,4471,554,5,SUSPICIOUS
7.6,0,2,1300000,100,16.0,4.2,3.4,914,374,0,NORMAL
3.7,14,2,1700000,70,14.4,5.6,15.5,820,331,0,NORMAL
4.3,1,4,1300000,65,13.2,13.0,4.9,1237,349,0,NORMAL
5.1,4,4,3100000,80,16.6,9.3,12.4,1609,354,0,NORMAL
5.2,0,2,3100000,75,10.0,4.4,5.1,869,364,0,NORMAL
57.0,298,5,7400000,30,64.1,57.8,77.4,3522,576,8,SUSPICIOUS
5.3,0,3,2800000,100,5.5,11.3,9.3,811,321,0,NORMAL
4.0,35,2,2800000,95,13.4,6.5,5.2,813,329,0,NORMAL
7.1,0,3,2300000,80,16.9,14.0,3.1,1263,353,0,NORMAL
2.7,13,4,2200000,80,10.5,9.5,12.5,1532,328,0,NORMAL
6.3,10,2,3000000,90,14.8,8.6,15.2,1174,277,0,NORMAL
4.1,1,2,1400000,55,7.3,14.4,13.0,1460,357,0,NORMAL
4.1,0,3,2500000,75,8.2,8.0,13.6,785,349,8,NORMAL
31.9,120,2,5000000,35,35.0,37.8,53.3,4057,457,78,SUSPICIOUS
2.5,6,1,3100000,100,11.6,8.1,8.6,1102,382,0,NORMAL
10.6,17,2,2200000,80,5.1,12.1,9.5,1584,297,0,NORMAL
11.3,0,2,2500000,65,8.9,10.8,4.9,1219,346,0,NORMAL
18.5,4,1,1900000,90,12.0,14.3,16.1,1119,307,8,NORMAL
15.2,0,2,1900000,65,11.3,8.9,4.7,1038,317,0,NORMAL
11.0,2,3,2100000,70,15.4,10.1,13.0,1224,343,0,NORMAL
1.2,17,2,2700000,70,10.4,13.6,8.1,812,312,0,NORMAL
58.9,191,6,7100000,30,78.5,56.1,63.5,3803,564,8,SUSPICIOUS
3.3,8,3,2600000,80,8.0,14.1,15.7,1016,371,0,NORMAL
2.5,0,2,2100000,100,9.2,8.6,16.2,1592,338,0,NORMAL
11.8,8,1,3000000,65,5.9,3.6,16.4,1026,316,12,NORMAL
4.1,0,3,3500000,100,9.1,6.6,4.3,979,399,0,NORMAL
1.2,2,2,2800000,100,16.9,5.4,14.4,1370,325,0,NORMAL
13.0,0,2,2700000,60,11.0,14.4,6.2,1594,410,5,NORMAL
44.9,92,4,5000000,0,67.8,55.4,64.7,3372,613,5,SUSPICIOUS
3.7,1,2,1900000,65,17.8,12.4,9.4,1394,372,0,NORMAL
8.2,0,3,3100000,60,5.8,8.6,15.7,846,314,0,NORMAL
62.6,90,4,7400000,25,36.3,76.7,64.5,5767,593,0,SUSPICIOUS
59.5,172,5,5400000,12,40.5,49.8,55.4,3549,628,10,SUSPICIOUS
1.7,13,2,1900000,55,7.5,8.7,9.6,1388,349,0,NORMAL
42.0,130,4,6400000,30,51.3,46.7,72.9,4196,472,90,SUSPICIOUS
13.5,9,2,1700000,65,12.2,10.3,9.6,1309,324,0,NORMAL
42.6,176,6,6300000,30,70.6,61.9,85.2,4393,582,14,SUSPICIOUS
8.6,0,3,3200000,60,12.3,4.3,13.7,759,279,0,NORMAL
4.9,0,2,1500000,75,5.4,6.8,12.1,1403,355,5,NORMAL
68.3,205,4,7800000,15,68.8,45.7,69.0,3949,730,14,SUSPICIOUS
8.7,0,2,1800000,85,10.6,11.1,3.8,1383,325,0,NORMAL
12.8,16,2,2000000,75,11.5,6.0,3.6,1422,355,8,NORMAL
5.0,0,3,2200000,65,12.5,10.6,12.6,1309,333,0,NORMAL
53.6,214,3,6600000,12,50.9,44.3,84.8,3459,645,10,SUSPICIOUS
1.2,25,3,1900000,85,6.8,6.4,8.4,1220,401,5,NORMAL
52.6,146,2,5400000,25,52.1,41.3,55.8,4145,470,77,SUSPICIOUS
16.2,7,2,3500000,55,6.1,10.1,6.4,898,333,5,NORMAL
4.9,18,2,3300000,85,15.3,5.7,14.3,907,377,0,NORMAL
6.4,5,2,2700000,60,10.8,5.6,6.8,1275,335,0,NORMAL
18.5,0,2,2200000,100,15.5,6.0,6.6,1217,303,0,NORMAL
41.1,151,3,7400000,12,43.9,59.2,84.5,5149,612,0,SUSPICIOUS
5.8,10,2,3600000,85,11.3,9.7,11.3,1447,358,0,NORMAL
1.7,7,2,1200000,60,13.8,4.8,12.7,1316,322,5,NORMAL
7.5,11,2,1400000,65,8.7,7.4,15.5,1076,334,5,NORMAL
1.2,0,1,1700000,85,11.1,10.0,15.4,1236,331,0,NORMAL
4.2,0,3,1900000,90,5.7,6.6,6.7,912,354,0,NORMAL
9.8,0,3,3000000,65,5.0,9.0,13.5,779,384,0,NORMAL
6.9,5,2,1900000,95,16.3,9.6,11.5,1213,342,8,NORMAL
5.0,10,2,2200000,65,13.4,9.6,6.5,1002,402,5,NORMAL
8.7,8,2,1600000,65,11.8,4.9,16.5,827,334,0,NORMAL
5.8,0,1,3700000,95,5.8,11.6,10.3,863,317,0,NORMAL
3.8,8,2,1700000,85,10.5,12.3,7.9,1419,410,0,NORMAL
7.5,45,2,2400000,65,7.8,12.9,9.0,1505,358,0,NORMAL
94.0,157,5,8300000,25,35.2,72.3,68.9,4184,469,5,SUSPICIOUS
7.9,4,2,3100000,90,13.5,12.5,3.7,1185,319,0,NORMAL
3.1,0,2,2200000,65,15.7,7.3,12.5,1608,352,0,NORMAL
10.3,5,2,2000000,70,15.4,7.3,12.7,1059,341,5,NORMAL
8.0,45,1,3200000,60,9.9,9.0,11.5,848,348,0,NORMAL
10.6,0,3,1600000,95,11.4,14.3,5.0,1348,313,0,NORMAL
12.3,5,2,1400000,65,10.3,3.7,4.1,1250,358,0,NORMAL
48.5,67,2,5100000,20,41.8,41.5,74.3,2699,536,93,SUSPICIOUS
1.2,0,1,1800000,90,13.2,7.0,16.6,951,348,0,NORMAL
7.4,8,2,3300000,85,10.9,9.2,9.8,1177,313,0,NORMAL
51.9,305,4,8000000,20,60.3,64.1,72.1,4529,559,8,SUSPICIOUS
7.1,5,2,3800000,60,15.9,12.8,13.8,1244,306,0,NORMAL
88.1,156,6,7300000,30,51.0,61.9,69.3,5294,548,5,SUSPICIOUS
3.3,0,2,3300000,60,6.9,3.8,4.0,1598,322,0,NORMAL
90.2,105,5,7600000,30,34.5,50.0,75.6,4048,605,0,SUSPICIOUS
7.5,7,2,3900000,85,17.1,11.1,14.5,1636,346,0,NORMAL
1.2,6,2,2500000,95,6.9,9.8,6.6,1357,345,5,NORMAL
3.9,0,3,1500000,80,10.2,6.8,14.2,1251,368,0,NORMAL
14.7,9,3,2900000,75,14.9,11.0,13.8,852,331,0,NORMAL
6.3,17,2,2300000,60,10.7,6.0,8.4,915,328,0,NORMAL
4.6,24,2,2200000,55,6.4,9.1,13.3,902,347,0,NORMAL
6.8,7,1,2600000,65,16.7,10.3,16.7,1055,288,0,NORMAL
4.5,26,2,1200000,60,14.9,9.1,12.4,1472,334,0,NORMAL
47.8,90,5,7500000,10,67.5,50.7,80.2,4237,492,5,SUSPICIOUS
5.1,0,2,3900000,90,6.1,6.8,12.4,977,347,0,NORMAL
3.5,6,3,2500000,90,6.5,5.1,9.0,1572,353,0,NORMAL
8.8,30,2,2400000,85,13.9,7.0,6.5,806,318,0,NORMAL
7.2,16,3,1300000,75,7.4,7.1,9.0,974,346,0,NORMAL
9.8,9,2,3400000,80,12.9,10.4,11.3,1418,382,0,NORMAL
69.9,229,4,7400000,30,61.3,51.0,61.9,3764,746,8,SUSPICIOUS
7.3,3,3,2200000,75,7.5,11.5,5.2,1398,301,5,NORMAL
5.7,3,2,1800000,90,14.8,8.5,14.8,1047,326,0,NORMAL
13.9,0,2,1500000,65,9.7,11.6,12.3,1113,350,0,NORMAL
36.6,202,4,6100000,10,69.3,56.6,64.7,4049,524,10,SUSPICIOUS
61.0,176,3,5900000,0,50.8,45.5,58.0,4847,531,5,SUSPICIOUS
46.9,167,3,6300000,10,43.0,54.0,72.9,5069,557,0,SUSPICIOUS
9.1,6,2,1300000,85,6.5,5.4,7.9,912,371,0,NORMAL
6.3,2,3,2400000,70,17.8,10.3,10.8,1385,330,5,NORMAL
11.9,7,2,1900000,85,11.2,6.0,12.0,1186,377,0,NORMAL
1.2,0,3,2500000,70,5.2,8.2,5.6,1117,400,0,NORMAL
46.7,93,4,5800000,12,55.9,50.0,83.1,3989,659,10,SUSPICIOUS
4.7,3,3,2100000,70,5.6,13.4,15.7,1541,292,0,NORMAL
56.5,134,4,9300000,30,53.5,71.9,77.6,4517,557,15,SUSPICIOUS
6.5,5,2,2100000,75,8.5,8.4,12.1,985,344,0,NORMAL
4.9,0,2,3800000,70,14.3,10.8,7.8,1645,288,0,NORMAL
50.0,155,3,5600000,25,36.5,32.6,59.6,3041,434,72,SUSPICIOUS
9.5,0,2,1800000,85,14.2,7.2,4.6,1435,319,0,NORMAL
18.5,0,2,2800000,90,15.2,12.6,13.1,1346,386,0,NORMAL
9.1,7,2,2500000,100,15.4,9.7,13.4,1120,377,0,NORMAL
3.8,0,2,1600000,85,5.7,8.9,9.2,944,398,0,NORMAL
40.8,148,3,4400000,30,49.5,29.6,50.2,4124,469,88,SUSPICIOUS
47.2,183,4,7400000,20,64.0,57.5,84.6,3426,739,14,SUSPICIOUS
3.5,0,3,2400000,60,10.0,7.9,14.0,930,297,0,NORMAL
8.4,20,2,3100000,100,15.8,8.2,6.9,762,332,0,NORMAL
11.3,35,1,2500000,95,17.5,5.1,11.1,1459,340,8,NORMAL
34.4,75,4,3900000,30,45.0,38.1,72.2,2681,444,79,SUSPICIOUS
18.5,28,3,1500000,65,15.9,13.2,15.9,1503,323,0,NORMAL
10.5,0,2,1500000,95,10.0,6.6,13.1,1159,321,0,NORMAL
70.9,246,5,8200000,15,60.7,54.0,83.8,5078,626,0,SUSPICIOUS
33.3,126,4,5900000,10,65.3,42.1,76.4,3528,649,5,SUSPICIOUS
41.7,282,4,8600000,20,62.7,42.8,78.2,4560,690,14,SUSPICIOUS
11.8,13,3,2200000,65,10.3,6.7,10.8,1302,303,8,NORMAL
5.3,6,1,1300000,60,15.0,9.5,3.9,885,383,0,NORMAL
8.8,17,3,1600000,100,8.0,12.5,7.1,1314,358,0,NORMAL
10.4,35,3,1500000,55,11.0,9.5,16.2,1584,355,0,NORMAL
5.9,25,1,2800000,55,17.0,4.5,16.4,1362,291,0,NORMAL
9.3,0,3,2600000,90,14.6,13.0,10.3,961,313,0,NORMAL
11.6,0,2,2700000,100,15.1,13.9,4.0,974,365,0,NORMAL
3.9,25,3,2900000,85,6.9,14.5,11.7,910,342,5,NORMAL
3.4,0,2,2900000,100,16.4,11.9,3.3,839,297,0,NORMAL
48.1,149,3,6500000,25,47.1,30.0,48.9,3080,544,92,SUSPICIOUS
12.8,4,2,2000000,60,13.8,6.0,10.1,823,360,0,NORMAL
3.4,16,2,3300000,65,11.4,6.6,14.0,1136,382,0,NORMAL
5.9,0,2,3700000,85,5.2,7.2,14.1,881,330,0,NORMAL
5.2,2,3,3000000,70,14.4,13.9,15.3,1593,345,0,NORMAL
41.6,130,3,5900000,10,49.4,38.7,72.4,3444,583,10,SUSPICIOUS
14.6,6,2,2200000,85,9.1,6.0,4.0,1052,304,0,NORMAL
1.8,5,2,1800000,75,13.4,14.2,14.9,1206,299,0,NORMAL
6.2,0,3,1400000,95,8.4,6.3,13.8,1008,309,0,NORMAL
44.3,246,3,6000000,15,68.8,42.2,88.8,3985,718,14,SUSPICIOUS
4.8,2,2,2300000,60,10.2,5.8,12.1,1083,362,0,NORMAL
3.6,0,1,1400000,90,8.1,13.9,15.2,861,308,0,NORMAL
49.2,152,3,6900000,30,77.6,47.7,73.3,4271,588,14,SUSPICIOUS
31.5,125,3,6000000,30,47.6,34.0,73.4,2957,541,83,SUSPICIOUS
35.8,65,2,4000000,20,50.0,38.8,50.8,2996,590,78,SUSPICIOUS
4.9,15,2,2000000,65,7.0,8.3,8.6,1468,370,0,NORMAL
